CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090090268,"4,6","16,7","29,6","23,0","8,6","0,0","65,7","0,0","0,0","42,9","37,1","-0,41783",Bajo,61.724
090090269,"1,2","10,3","21,9","48,3","1,9","0,0","0,0","0,0","0,0","31,5","24,1","-0,95146",Muy bajo,96.754
090090271,"7,4","0,0","59,3","26,5","0,0","0,0","100,0","0,0","9,1","90,9","90,9","0,41554",Medio,27.870
090090274,"14,3","0,0","42,9","8,3","0,0","66,7","100,0","100,0","0,0","100,0","66,7","1,17613",Alto,13.119
090090275,"0,0","0,0","37,0","26,3","10,0","0,0","0,0","0,0","0,0","50,0","40,0","-0,66702",Bajo,78.176
090090276,"16,7","0,0","72,2","70,4","0,0","0,0","62,5","0,0","0,0","75,0","62,5","0,17659",Medio,34.995
090090277,"2,0","4,1","20,4","48,5","4,1","0,8","6,5","1,6","0,8","46,3","20,3","-0,86879",Muy bajo,91.816
090090278,"16,3","50,0","46,5","31,7","0,0","0,0","0,0","0,0","0,0","58,3","25,0","-0,26247",Bajo,53.145
090090280,"16,7","0,0","33,3","54,5","0,0","0,0","33,3","0,0","0,0","0,0","0,0","-0,95391",Muy bajo,96.897
090090281,"15,0","0,0","35,0","33,3","0,0","0,0","75,0","0,0","0,0","50,0","25,0","-0,40855",Bajo,61.177
090090282,"0,0","0,0","7,1","15,0","20,0","0,0","60,0","20,0","0,0","40,0","20,0","-0,66808",Bajo,78.259
090090283,"6,5","0,0","38,7","28,0","0,0","0,0","72,7","0,0","0,0","18,2","9,1","-0,75071",Bajo,83.866
090090284,"8,3","8,3","37,5","43,9","0,0","0,0","0,0","0,0","0,0","28,6","21,4","-0,81564",Bajo,88.258
090090285,"3,8","3,8","26,0","21,4","3,3","1,1","41,8","5,5","0,0","28,6","24,2","-0,75620",Bajo,84.262
090090288,"2,3","0,0","16,3","25,4","0,0","6,7","6,7","0,0","0,0","40,0","40,0","-0,84147",Bajo,90.018
090090289,"5,0","0,0","40,0","12,5","30,8","0,0","0,0","0,0","0,0","23,1","38,5","-0,59607",Bajo,73.228
090090291,"0,0","28,6","30,8","52,4","0,0","0,0","75,0","0,0","0,0","75,0","25,0","-0,32238",Bajo,56.306
090090292,"3,0","4,2","30,1","29,8","3,8","1,3","33,3","0,6","0,6","34,6","26,9","-0,72895",Bajo,82.362
090090297,"3,5","2,7","28,7","29,0","12,1","3,3","85,7","1,1","1,1","38,5","30,8","-0,44012",Bajo,63.071
090090300,"2,4","3,1","21,9","24,8","4,5","0,8","0,9","0,3","0,2","29,5","14,1","-1,01392",Muy bajo,99.966
090090301,"5,8","0,0","30,4","32,6","0,0","0,0","7,7","3,8","0,0","30,8","26,9","-0,85039",Bajo,90.637
090090303,"3,8","2,7","35,4","21,9","0,0","0,0","0,0","0,0","0,0","53,3","22,2","-0,77472",Bajo,85.562
090090304,"22,2","0,0","63,0","40,0","10,0","10,0","20,0","50,0","0,0","70,0","60,0","0,37155",Medio,29.097
090090305,"6,3","4,0","41,3","31,9","5,1","0,0","46,2","0,0","2,6","51,3","33,3","-0,43323",Bajo,62.649
090090306,"0,0","0,0","9,1","9,1","0,0","0,0","28,6","0,0","0,0","28,6","14,3","-1,09750",Muy bajo,103.114
090090310,"10,5","0,0","34,2","48,3","7,7","15,4","61,5","38,5","7,7","23,1","46,2","-0,13350",Medio,46.980
090090312,"0,0","0,0","13,6","37,0","14,3","0,0","85,7","0,0","0,0","57,1","14,3","-0,61153",Bajo,74.249
090090313,"0,0","0,0","50,0","70,6","0,0","0,0","0,0","0,0","0,0","75,0","50,0","-0,45332",Bajo,63.904
090090314,"4,2","0,0","28,5","42,9","0,0","4,2","18,8","4,2","0,0","50,0","31,3","-0,68531",Bajo,79.410
090090315,"5,7","2,1","28,3","24,4","0,9","1,8","6,1","0,0","0,0","45,6","17,5","-0,83427",Bajo,89.526
090090316,"5,9","8,7","36,2","22,3","1,4","2,9","10,0","0,0","1,4","40,0","22,9","-0,70856",Bajo,81.023
090090317,"5,6","10,3","30,2","21,3","0,0","1,8","0,0","0,0","0,0","42,1","19,3","-0,81625",Bajo,88.300
090090318,"6,9","0,0","36,8","40,0","0,0","3,6","75,0","7,1","0,0","46,4","25,0","-0,44808",Bajo,63.583
090090319,"4,3","0,0","40,4","42,4","5,6","0,0","5,6","0,0","0,0","66,7","50,0","-0,45964",Bajo,64.330
090090321,"10,0","0,0","40,0","38,5","0,0","0,0","0,0","0,0","0,0","50,0","75,0","-0,40446",Bajo,60.943
090090322,"2,1","0,0","25,1","18,3","0,0","0,0","63,1","4,6","0,0","53,8","33,8","-0,57328",Bajo,71.690
090090323,"7,4","7,7","26,3","31,8","3,6","0,0","3,6","0,0","3,6","46,4","25,0","-0,72949",Bajo,82.399
090090326,"0,0","0,0","25,0","58,8","0,0","0,0","66,7","0,0","0,0","33,3","66,7","-0,53034",Bajo,68.853
090090328,"0,0","0,0","13,7","30,6","5,0","0,0","5,0","0,0","0,0","20,0","15,0","-1,15095",Muy bajo,104.509
090090332,"0,0","0,0","47,4","34,5","0,0","14,3","42,9","14,3","14,3","71,4","57,1","-0,03908",Medio,42.834
090090333,"11,5","0,0","23,1","41,9","0,0","0,0","0,0","0,0","0,0","33,3","0,0","-1,01888",Muy bajo,100.181
090090337,"3,6","0,0","32,1","29,3","0,0","0,0","0,0","0,0","0,0","60,0","30,0","-0,73402",Bajo,82.735
090090338,"8,3","5,6","37,5","11,3","13,3","0,0","6,7","0,0","0,0","60,0","53,3","-0,36420",Bajo,58.631
090090340,"4,0","0,0","22,0","31,6","2,8","2,8","8,3","5,6","0,0","61,1","52,8","-0,56976",Bajo,71.435
090090341,"0,0","0,0","25,0","65,0","0,0","0,0","71,4","0,0","0,0","57,1","42,9","-0,51970",Bajo,68.149
090090342,"3,4","9,1","33,0","26,4","10,7","0,0","92,9","0,0","0,0","35,7","14,3","-0,50803",Bajo,67.417
090090344,"1,9","0,0","28,3","55,4","0,0","16,7","88,9","5,6","5,6","55,6","55,6","-0,17225",Medio,48.755
090090345,"0,0","0,0","48,3","32,6","0,0","0,0","60,0","0,0","0,0","60,0","40,0","-0,40031",Bajo,60.696
090090347,"7,1","0,0","28,6","4,8","0,0","0,0","0,0","0,0","0,0","80,0","60,0","-0,44196",Bajo,63.190
090090348,"5,9","0,0","19,6","18,5","0,0","0,0","0,0","52,6","0,0","26,3","15,8","-0,80062",Bajo,87.331
090090351,"4,7","7,7","44,2","27,9","0,0","0,0","88,2","0,0","0,0","52,9","64,7","-0,13690",Medio,47.153
090090352,"5,5","0,0","16,4","36,8","0,0","0,0","0,0","0,0","0,0","30,0","30,0","-0,98366",Muy bajo,98.513
090090354,"9,3","3,6","46,3","41,4","19,0","0,0","19,0","0,0","0,0","33,3","42,9","-0,42079",Bajo,61.911
090090355,"14,3","0,0","37,1","35,3","6,3","12,5","0,0","12,5","0,0","62,5","43,8","-0,29300",Bajo,54.722
090090356,"13,3","20,0","53,3","60,0","42,9","28,6","100,0","14,3","42,9","85,7","100,0","1,38051",Alto,10.769
090090358,"0,0","0,0","17,4","10,3","0,0","0,0","0,0","0,0","0,0","22,2","11,1","-1,18989",Muy bajo,105.215
090090359,"0,0","0,0","14,3","25,5","0,0","0,0","10,0","0,0","0,0","0,0","10,0","-1,30242",Muy bajo,106.761
090090360,"2,5","7,7","10,1","34,7","3,0","0,0","0,0","0,0","0,0","18,2","12,1","-1,16348",Muy bajo,104.702
090090361,"2,1","0,0","29,8","47,1","13,3","0,0","0,0","0,0","0,0","26,7","40,0","-0,79374",Bajo,86.857
090090362,"0,0","0,0","0,0","69,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,48923",Muy bajo,107.931
090090363,"5,3","0,0","31,6","6,7","0,0","14,3","0,0","14,3","0,0","28,6","14,3","-0,81079",Bajo,87.956
090090364,"16,1","14,3","35,5","23,3","0,0","12,5","0,0","6,3","12,5","56,3","50,0","-0,19607",Medio,49.881
090090365,"10,3","0,0","44,8","29,7","45,5","9,1","72,7","9,1","0,0","63,6","36,4","0,16841",Medio,35.266
090090366,"25,0","0,0","50,0","50,0","0,0","0,0","0,0","0,0","0,0","40,0","20,0","-0,52797",Bajo,68.681
090090367,"12,0","0,0","44,0","15,6","11,1","0,0","0,0","0,0","0,0","11,1","11,1","-0,84797",Bajo,90.470
090090369,"40,0","40,0","40,0","30,0","0,0","0,0","100,0","0,0","0,0","100,0","66,7","0,71433",Alto,20.846
090090370,"0,0","0,0","46,7","72,2","0,0","14,3","100,0","14,3","0,0","85,7","100,0","0,37552",Medio,28.998
090090371,"4,3","12,0","42,9","45,7","0,0","9,7","6,5","9,7","0,0","51,6","25,8","-0,51983",Bajo,68.156
090090372,"6,6","11,1","19,7","12,4","0,0","0,0","16,7","0,0","0,0","27,8","11,1","-0,95322",Muy bajo,96.858
090090373,"0,0","0,0","31,9","38,8","4,8","0,0","0,0","0,0","0,0","52,4","28,6","-0,79094",Bajo,86.681
090090374,"3,1","7,1","25,0","13,0","0,0","0,0","0,0","0,0","0,0","38,5","15,4","-0,95148",Muy bajo,96.756
090090380,"0,0","0,0","46,7","14,3","0,0","0,0","16,7","0,0","0,0","33,3","50,0","-0,64882",Bajo,76.846
090090384,"16,7","40,0","62,5","50,0","22,2","22,2","44,4","33,3","0,0","66,7","100,0","0,89863",Alto,17.302
090090385,"14,3","0,0","28,6","55,6","0,0","0,0","100,0","0,0","33,3","100,0","33,3","0,17430",Medio,35.078
090090388,"1,7","9,1","25,9","42,9","5,9","0,0","0,0","0,0","0,0","29,4","41,2","-0,80981",Bajo,87.893
090090389,"4,0","20,0","36,0","48,5","12,5","0,0","75,0","12,5","0,0","62,5","37,5","-0,13207",Medio,46.915
090090390,"9,1","0,0","45,5","41,2","0,0","0,0","25,0","0,0","0,0","25,0","0,0","-0,85079",Bajo,90.670
090090391,"14,3","11,1","38,1","16,1","0,0","0,0","14,3","0,0","0,0","57,1","57,1","-0,32540",Bajo,56.460
090090392,"1,6","0,0","23,8","20,5","5,0","0,0","10,0","0,0","0,0","45,0","35,0","-0,79804",Bajo,87.140
090090395,"0,0","0,0","60,0","47,1","0,0","16,7","100,0","33,3","50,0","66,7","83,3","0,72504",Alto,20.637
090090403,"0,0","0,0","66,7","0,0","33,3","0,0","66,7","0,0","0,0","33,3","33,3","-0,19577",Medio,49.863
090090407,"4,3","0,0","30,4","27,0","16,7","16,7","100,0","33,3","16,7","50,0","50,0","0,17709",Medio,34.979
090090410,"0,0","0,0","11,1","30,0","0,0","0,0","33,3","0,0","33,3","66,7","100,0","-0,14343",Medio,47.439
090090413,"0,0","0,0","42,9","32,1","11,1","0,0","0,0","0,0","0,0","66,7","55,6","-0,44007",Bajo,63.068
090090414,"0,0","100,0","12,5","18,2","0,0","0,0","33,3","33,3","0,0","66,7","33,3","-0,05313",Medio,43.462
090090415,"1,0","0,0","19,8","47,0","0,0","2,6","5,3","2,6","0,0","26,3","18,4","-1,04647",Muy bajo,101.306
090100001,"1,6","5,8","18,8","24,7","0,5","0,3","0,2","0,1","0,0","14,3","5,6","-1,19766",Muy bajo,105.360
090100213,"10,3","22,2","64,1","17,5","83,3","0,0","0,0","0,0","0,0","33,3","25,0","0,10387",Medio,37.422
090100214,"10,0","0,0","50,0","58,3","50,0","25,0","100,0","50,0","0,0","100,0","75,0","1,05343",Alto,14.783
090100215,"33,3","0,0","66,7","100,0","0,0","0,0","100,0","100,0","0,0","100,0","100,0","1,29570",Alto,11.647
090100216,"5,7","0,0","42,9","12,8","0,0","0,0","0,0","0,0","0,0","33,3","44,4","-0,69862",Bajo,80.339
090100217,"0,0","0,0","80,0","100,0","66,7","33,3","100,0","66,7","0,0","66,7","66,7","1,18150",Alto,13.045
090110001,"1,6","5,0","19,6","26,9","1,1","0,2","1,0","0,2","0,1","21,6","8,3","-1,13359",Muy bajo,104.073
090110011,"2,0","3,9","20,5","22,2","2,9","0,4","0,8","0,4","0,1","30,9","13,1","-1,03608",Muy bajo,100.919
090110021,"2,1","4,5","21,0","29,1","2,0","0,3","0,4","0,2","0,0","22,0","8,3","-1,11371",Muy bajo,103.605
090110024,"1,5","3,5","20,8","22,9","1,9","0,9","0,9","0,2","0,4","26,7","11,7","-1,07528",Muy bajo,102.357
090110026,"1,7","3,9","21,9","29,8","3,8","0,4","0,8","0,4","0,1","22,5","9,0","-1,09316",Muy bajo,102.971
090110069,"4,2","2,7","21,6","27,6","1,9","0,0","0,0","0,0","0,0","32,1","28,3","-0,93339",Muy bajo,95.739
090110071,"7,1","0,0","34,5","43,5","22,9","1,4","64,3","22,9","0,0","45,7","42,9","-0,17553",Medio,48.907
090110072,"0,0","0,0","25,8","57,6","15,6","6,3","71,9","3,1","3,1","46,9","37,5","-0,40702",Bajo,61.096
090110076,"2,9","3,3","38,2","26,3","7,7","0,0","3,8","0,0","0,0","53,8","46,2","-0,55519",Bajo,70.499
090110081,"1,9","0,0","3,8","1,5","5,3","0,0","0,0","0,0","0,0","31,6","21,1","-1,11825",Muy bajo,103.724
090110086,"1,4","6,3","30,1","33,0","4,8","4,8","0,0","4,8","4,8","47,6","47,6","-0,58392",Bajo,72.399
090110087,"7,6","0,0","39,4","32,2","8,0","4,0","92,0","20,0","16,0","52,0","48,0","0,02969",Medio,40.147
090110089,"13,3","0,0","60,0","31,3","40,0","0,0","60,0","0,0","20,0","80,0","80,0","0,59252",Alto,23.459
090110094,"0,0","0,0","45,5","27,8","20,0","0,0","0,0","0,0","0,0","80,0","60,0","-0,26162",Bajo,53.100
090110103,"1,0","0,0","11,9","35,9","2,9","5,9","0,0","2,9","0,0","17,6","29,4","-1,06008",Muy bajo,101.853
090110104,"3,3","4,1","36,2","46,3","4,4","0,5","62,3","2,0","0,5","43,6","44,1","-0,43301",Bajo,62.634
090110108,"1,8","5,0","23,6","13,6","0,0","0,0","5,3","0,0","0,0","31,6","47,4","-0,82524",Bajo,88.922
090110110,"4,4","9,1","43,6","36,5","22,3","3,3","58,6","2,0","1,1","62,5","43,3","-0,10626",Medio,45.770
090110111,"10,0","0,0","30,0","62,5","0,0","0,0","0,0","0,0","0,0","28,6","28,6","-0,85076",Bajo,90.667
090110113,"3,6","5,9","29,8","32,4","7,1","0,0","0,0","0,0","1,8","37,5","28,6","-0,78557",Bajo,86.308
090110119,"1,6","2,7","39,2","44,4","0,0","0,0","66,7","0,0","0,0","23,8","31,0","-0,65387",Bajo,77.221
090110126,"10,2","21,1","53,1","36,6","28,6","14,3","57,1","14,3","14,3","57,1","50,0","0,36377",Medio,29.315
090110128,"2,7","9,5","30,1","26,7","0,0","0,0","80,8","0,0","0,0","38,5","23,1","-0,58633",Bajo,72.536
090110129,"0,0","0,0","15,8","30,4","0,0","0,0","22,2","0,0","0,0","11,1","0,0","-1,24629",Muy bajo,106.080
090110133,"13,3","0,0","73,3","55,0","20,0","0,0","60,0","40,0","0,0","80,0","100,0","0,71430",Alto,20.848
090110134,"20,8","20,0","83,3","52,9","30,0","20,0","60,0","40,0","10,0","80,0","60,0","1,02694",Alto,15.181
090110136,"6,0","0,0","34,1","29,5","9,1","0,0","4,5","8,0","2,3","28,4","20,5","-0,78253",Bajo,86.068
090110137,"5,5","15,4","56,4","54,5","59,1","4,5","40,9","18,2","4,5","54,5","63,6","0,41399",Medio,27.921
090110140,"4,2","5,7","30,7","48,7","40,4","0,6","72,7","0,6","25,6","54,6","37,3","0,02892",Medio,40.172
090110141,"2,9","4,3","29,0","24,9","40,6","1,0","37,6","1,0","12,9","35,6","24,8","-0,38247",Bajo,59.695
090110142,"3,6","10,9","29,9","23,2","3,9","0,0","0,0","0,0","0,0","27,6","10,5","-0,94959",Muy bajo,96.649
090110145,"7,5","4,8","38,1","41,7","16,4","1,8","89,1","3,6","3,6","34,5","34,5","-0,25560",Bajo,52.786
090110146,"4,7","0,0","27,9","27,8","25,0","0,0","93,8","0,0","0,0","68,8","50,0","-0,09087",Medio,45.089
090110148,"4,4","16,3","35,4","49,5","16,9","0,0","84,6","0,0","4,6","40,0","32,3","-0,26686",Bajo,53.388
090110149,"2,0","0,0","48,0","51,3","25,0","2,5","77,5","2,5","2,5","62,5","52,5","-0,00825",Medio,41.630
090110150,"9,1","0,0","40,9","26,9","14,3","0,0","0,0","0,0","14,3","57,1","28,6","-0,43259",Bajo,62.602
090110152,"20,0","0,0","60,0","61,5","33,3","0,0","66,7","33,3","0,0","66,7","100,0","0,71185",Alto,20.901
090110153,"0,0","25,0","25,0","24,0","16,7","0,0","50,0","0,0","33,3","50,0","16,7","-0,30126",Bajo,55.141
090110154,"7,4","8,7","45,4","37,2","18,9","0,0","73,0","0,0","0,0","56,8","40,5","-0,12443",Medio,46.559
090110155,"4,2","0,0","29,2","86,7","37,5","0,0","75,0","0,0","50,0","87,5","87,5","0,60207",Alto,23.268
090110156,"0,0","0,0","37,5","46,2","0,0","0,0","100,0","0,0","0,0","66,7","33,3","-0,33884",Bajo,57.261
090110159,"1,6","0,0","29,5","52,9","12,3","5,5","71,2","0,0","0,0","41,1","21,9","-0,55061",Bajo,70.183
090110160,"1,1","0,0","28,4","40,3","8,3","0,0","2,8","0,0","2,8","30,6","16,7","-0,93323",Muy bajo,95.730
090110161,"4,5","0,0","22,7","32,3","25,0","0,0","25,0","0,0","25,0","50,0","37,5","-0,36210",Bajo,58.515
090110162,"7,9","12,5","28,6","42,2","15,0","5,0","80,0","0,0","10,0","35,0","35,0","-0,26380",Bajo,53.216
090110163,"0,0","11,1","22,0","25,7","0,0","0,0","5,0","0,0","0,0","25,0","5,0","-1,10059",Muy bajo,103.192
090120001,"1,4","4,3","16,3","27,9","0,5","0,3","1,0","0,2","0,0","14,9","6,2","-1,21543",Muy bajo,105.642
090120019,"3,5","4,0","34,3","24,3","0,4","1,1","2,4","0,4","0,0","24,0","20,6","-0,92640",Muy bajo,95.334
090120026,"2,5","5,7","27,6","35,6","3,0","0,6","16,0","0,7","0,4","28,1","18,3","-0,90018",Muy bajo,93.773
090120027,"3,3","4,8","29,5","32,2","1,9","0,9","31,2","1,3","0,2","30,0","19,0","-0,82083",Bajo,88.629
090120105,"2,2","0,0","24,4","28,4","0,0","0,0","11,1","0,0","0,0","38,9","22,2","-0,92305",Muy bajo,95.145
090120112,"5,5","6,3","40,4","43,5","4,8","0,0","42,9","0,0","0,0","35,7","31,0","-0,56570",Bajo,71.188
090120114,"0,0","0,0","0,0","63,6","0,0","0,0","0,0","0,0","0,0","33,3","0,0","-1,30955",Muy bajo,106.819
090120124,"2,5","0,0","26,4","30,8","4,6","1,7","11,5","1,7","0,0","31,6","23,6","-0,88361",Muy bajo,92.745
090120128,"15,8","0,0","47,4","52,0","16,7","0,0","33,3","16,7","0,0","66,7","33,3","-0,11705",Medio,46.230
090120130,"0,0","0,0","31,1","36,2","5,6","11,1","5,6","11,1","0,0","27,8","16,7","-0,84145",Bajo,90.014
090120131,"0,0","0,0","30,3","44,4","0,0","0,0","100,0","0,0","0,0","15,4","7,7","-0,81125",Bajo,87.985
090120132,"14,3","0,0","14,3","57,1","33,3","33,3","66,7","66,7","0,0","66,7","66,7","0,53248",Alto,24.878
090120135,"2,5","5,0","34,1","29,6","8,5","0,6","21,5","0,8","0,7","36,6","26,6","-0,70565",Bajo,80.830
090120144,"7,6","7,8","43,6","24,4","13,1","1,4","71,7","4,1","2,8","48,3","50,3","-0,12738",Medio,46.705
090120159,"5,8","10,0","42,0","51,1","20,8","8,3","12,5","4,2","4,2","62,5","58,3","-0,11319",Medio,46.084
090120161,"2,9","4,0","33,7","44,4","11,7","1,8","52,0","3,1","1,8","39,5","38,1","-0,47241",Bajo,65.119
090120162,"4,2","10,5","58,3","47,6","13,6","0,0","95,5","0,0","9,1","59,1","81,8","0,28762",Medio,31.514
090120168,"3,2","3,2","37,6","31,8","8,6","4,8","83,6","7,8","1,9","44,6","35,7","-0,30217",Bajo,55.189
090120175,"17,2","66,7","44,8","42,9","20,0","0,0","100,0","0,0","0,0","60,0","100,0","0,74466",Alto,20.220
090120179,"3,2","2,5","36,9","19,6","10,4","1,5","24,8","1,5","2,0","35,1","24,3","-0,66972",Bajo,78.373
090120187,"2,4","0,0","41,1","35,8","16,7","0,0","4,5","1,5","4,5","56,1","40,9","-0,47068",Bajo,65.007
090120198,"7,1","33,3","21,4","27,8","0,0","0,0","28,6","14,3","0,0","42,9","14,3","-0,60594",Bajo,73.864
090120210,"4,3","0,0","34,8","23,1","0,0","0,0","53,3","0,0","0,0","60,0","20,0","-0,58116",Bajo,72.207
090120216,"5,5","7,7","41,2","31,0","1,4","1,4","71,4","2,9","8,6","55,7","38,6","-0,24484",Bajo,52.252
090120217,"6,5","6,9","33,8","0,5","1,8","0,0","0,0","0,0","1,8","27,3","20,0","-0,86303",Muy bajo,91.484
090120218,"3,1","9,1","17,7","41,1","0,0","2,8","61,1","2,8","2,8","22,2","19,4","-0,79317",Bajo,86.827
090120220,"0,0","0,0","53,8","45,0","25,0","12,5","25,0","0,0","0,0","25,0","37,5","-0,41902",Bajo,61.803
090120221,"4,9","14,3","48,8","54,0","50,0","0,0","20,0","0,0","60,0","100,0","100,0","0,92781",Alto,16.761
